code,field,desc
math.CT,Mathematics,Category Theory
math.CA,Mathematics,Classical Analysis and ODEs
math.CO,Mathematics,Combinatorics
math.AC,Mathematics,Commutative Algebra
math.CV,Mathematics,Complex Variables
math.DG,Mathematics,Differential Geometry
math.DS,Mathematics,Dynamical Systems
math.FA,Mathematics,Functional Analysis
math.GM,Mathematics,General Mathematics
math.GN,Mathematics,General Topology
math.GT,Mathematics,Geometric Topology
math.GR,Mathematics,Group Theory
math.HO,Mathematics,History and Overview
math.IT,Mathematics,Information Theory
math.KT,Mathematics,K-Theory and Homology
math.LO,Mathematics,Logic
math.MP,Mathematics,Mathematical Physics
math.MG,Mathematics,Metric Geometry
math.NT,Mathematics,Number Theory
math.NA,Mathematics,Numerical Analysis
math.OA,Mathematics,Operator Algebras
math.OC,Mathematics,Optimization and Control
math.PR,Mathematics,Probability
math.QA,Mathematics,Quantum Algebra
math.RT,Mathematics,Representation Theory
math.RA,Mathematics,Rings and Algebras
math.SP,Mathematics,Spectral Theory
math.ST,Mathematics,Statistics Theory
math.SG,Mathematics,Symplectic Geometry
cs.AI,Computer Science,Artificial Intelligence
cs.CL,Computer Science,Computation and Language
cs.CC,Computer Science,Computational Complexity
cs.CE,Computer Science,Computational Engineering, Finance, and Science
cs.CG,Computer Science,Computational Geometry
cs.GT,Computer Science,Computer Science and Game Theory
cs.CV,Computer Science,Computer Vision and Pattern Recognition
cs.CY,Computer Science,Computers and Society
cs.CR,Computer Science,Cryptography and Security
cs.DS,Computer Science,Data Structures and Algorithms
cs.DB,Computer Science,Databases
cs.DL,Computer Science,Digital Libraries
cs.DM,Computer Science,Discrete Mathematics
cs.DC,Computer Science,Distributed, Parallel, and Cluster Computing
cs.ET,Computer Science,Emerging Technologies
cs.FL,Computer Science,Formal Languages and Automata Theory
cs.GL,Computer Science,General Literature
cs.GR,Computer Science,Graphics
cs.AR,Computer Science,Hardware Architecture
cs.HC,Computer Science,Human-Computer Interaction
cs.IR,Computer Science,Information Retrieval
cs.IT,Computer Science,Information Theory
cs.LO,Computer Science,Logic in Computer Science
cs.LG,Computer Science,Machine Learning
cs.MS,Computer Science,Mathematical Software
cs.MA,Computer Science,Multiagent Systems
cs.MM,Computer Science,Multimedia
cs.NI,Computer Science,Networking and Internet Architecture
cs.NE,Computer Science,Neural and Evolutionary Computing
cs.NA,Computer Science,Numerical Analysis
cs.OS,Computer Science,Operating Systems
cs.OH,Computer Science,Other Computer Science
cs.PF,Computer Science,Performance
cs.PL,Computer Science,Programming Languages
cs.RO,Computer Science,Robotics
cs.SI,Computer Science,Social and Information Networks
cs.SE,Computer Science,Software Engineering
cs.SD,Computer Science,Sound
cs.SC,Computer Science,Symbolic Computation
cs.SY,Computer Science,Systems and Control
q-bio.BM,Quantitative Biology,Biomolecules
q-bio.CB,Quantitative Biology,Cell Behavior
q-bio.GN,Quantitative Biology,Genomics
q-bio.MN,Quantitative Biology,Molecular Networks
q-bio.NC,Quantitative Biology,Neurons and Cognition
q-bio.OT,Quantitative Biology,Other Quantitative Biology
q-bio.PE,Quantitative Biology,Populations and Evolution
q-bio.QM,Quantitative Biology,Quantitative Methods
q-bio.SC,Quantitative Biology,Subcellular Processes
q-bio.TO,Quantitative Biology,Tissues and Organs
q-fin.CP,Quantitative Finance,Computational Finance
q-fin.EC,Quantitative Finance,Economics
q-fin.GN,Quantitative Finance,General Finance
q-fin.MF,Quantitative Finance,Mathematical Finance
q-fin.PM,Quantitative Finance,Portfolio Management
q-fin.PR,Quantitative Finance,Pricing of Securities
q-fin.RM,Quantitative Finance,Risk Management
q-fin.ST,Quantitative Finance,Statistical Finance
q-fin.TR,Quantitative Finance,Trading and Market Microstructure
stat.AP,Statistics,Applications
stat.CO,Statistics,Computation
stat.ML,Statistics,Machine Learning
stat.ME,Statistics,Methodology
stat.OT,Statistics,Other Statistics
stat.TH,Statistics,Statistics Theory
eess.AS,Electrical Engineering and Systems Science,Audio and Speech Processing
eess.IV,Electrical Engineering and Systems Science,Image and Video Processing
eess.SP,Electrical Engineering and Systems Science,Signal Processing
econ.EM,Economics,Econometrics
econ.GN,Economics,General Economics
econ.TH,Economics,Theoretical Economics
